CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
50001,1,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,160,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
50002,1,9.0,1,8.0,3.0,4,3,7,1,15.0,0.0,1.0,0.0,121,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
50003,1,9.0,1,30.0,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
50004,1,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
50005,1,0.0,1,12.0,3.0,3,5,3,0,11.0,1.0,1.0,3.0,130,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
50006,1,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
50007,1,9.0,3,11.0,2.0,3,2,4,0,14.0,0.0,1.0,0.0,121,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
50008,1,9.0,1,6.0,3.0,3,2,3,1,16.0,2.0,2.0,0.0,123,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50009,1,13.0,3,9.0,3.0,4,3,2,1,14.0,0.0,1.0,2.0,127,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
50010,1,9.0,1,31.0,2.0,5,3,2,0,12.0,1.0,1.0,1.0,123,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
50011,1,4.0,1,18.0,2.0,3,3,2,0,15.0,9.0,15.0,8.0,295,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50012,1,11.0,1,6.0,3.0,4,3,10,1,13.0,0.0,1.0,0.0,154,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
