CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,DissatisfactionIndex,DeviceToTenureRatio,InactivityRatio,RecencyWeight,SpendVelocity
50001,1,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,160,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.5,0.6,1.0,0.16666666666666666,1.8333333333333333
50002,1,9.0,1,8.0,3.0,4,3,7,1,15.0,0.0,1.0,0.0,121,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1.0,0.4,0.0,1.0,15.0
50003,1,9.0,1,30.0,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1.0,0.4,0.3,0.25,3.5
50004,1,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.0,4.0,3.0,0.25,5.75
50005,1,0.0,1,12.0,3.0,3,5,3,0,11.0,1.0,1.0,3.0,130,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,3.0,3.0,0.25,2.75
50006,1,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0,5.0,7.0,0.75,2.75
50007,1,9.0,3,11.0,2.0,3,2,4,0,14.0,0.0,1.0,0.0,121,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.3,0.0,1.0,14.0
50008,1,9.0,1,6.0,3.0,3,2,3,1,16.0,2.0,2.0,0.0,123,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.3,0.0,2.0,16.0
50009,1,13.0,3,9.0,3.0,4,3,2,1,14.0,0.0,1.0,2.0,127,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1.0,0.2857142857142857,0.14285714285714285,0.3333333333333333,4.666666666666667
50010,1,9.0,1,31.0,2.0,5,3,2,0,12.0,1.0,1.0,1.0,123,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.0,0.5,0.1,0.5,6.0
50011,1,4.0,1,18.0,2.0,3,3,2,0,15.0,9.0,15.0,8.0,295,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.6,1.6,1.6666666666666667,1.6666666666666667
50012,1,11.0,1,6.0,3.0,4,3,10,1,13.0,0.0,1.0,0.0,154,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1.0,0.3333333333333333,0.0,1.0,13.0
50013,1,0.0,1,11.0,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.6666666666666666,3.0,2.0,0.6666666666666666,4.333333333333333
50014,1,0.0,1,15.0,3.0,4,3,1,1,17.0,0.0,1.0,0.0,134,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,4.0,0.0,1.0,17.0
50015,1,9.0,3,15.0,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.4,0.7,0.5,2.0
50016,1,9.0,2,12.0,3.0,3,5,5,1,22.0,1.0,1.0,2.0,121,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.0,0.3,0.2,0.3333333333333333,7.333333333333333
50017,1,0.0,1,12.0,3.0,4,2,2,1,18.0,1.0,1.0,0.0,129,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.5,4.0,0.0,1.0,18.0
50018,1,0.0,3,11.0,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1.0,4.0,3.0,0.25,2.75
50019,1,0.0,1,13.0,3.0,5,3,2,1,24.0,1.0,1.0,6.0,161,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1.0,5.0,6.0,0.14285714285714285,3.4285714285714284
50020,1,19.0,1,20.0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,150,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.15,0.15,1.0,4.5
50021,1,0.0,3,12.0,3.0,5,3,5,1,18.0,6.0,7.0,7.0,162,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.25,5.0,7.0,0.875,2.25
50022,1,20.0,1,29.0,3.0,3,2,2,0,12.0,11.0,15.0,6.0,203,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714285,0.2857142857142857,2.142857142857143,1.7142857142857142
50023,1,9.0,3,28.0,2.0,3,3,2,1,19.0,0.0,1.0,0.0,117,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1.0,0.3,0.0,1.0,19.0
50024,1,0.0,3,26.0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,146,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.6666666666666666,5.0,2.0,0.6666666666666666,3.6666666666666665
50025,1,14.0,1,14.0,2.0,5,2,3,0,15.0,0.0,1.0,3.0,207,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0.3333333333333333,0.2,0.25,3.75
50026,1,0.0,1,15.0,2.0,3,5,8,0,22.0,1.0,1.0,4.0,142,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0,3.0,4.0,0.2,4.4
50027,0,8.0,3,6.0,3.0,3,4,2,0,13.0,1.0,1.0,6.0,173,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.6666666666666666,0.14285714285714285,1.8571428571428572
50028,0,9.0,3,12.0,2.0,3,3,3,1,20.0,0.0,4.0,5.0,123,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.4,0.3,0.5,0.6666666666666666,3.3333333333333335
50029,0,18.0,1,14.0,2.0,3,4,9,0,18.0,1.0,1.0,15.0,123,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.0,0.15789473684210525,0.7894736842105263,0.0625,1.125
50030,0,5.0,3,14.0,2.0,3,2,2,0,14.0,2.0,3.0,7.0,190,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.5,1.1666666666666667,0.375,1.75
50031,0,2.0,1,6.0,2.0,3,3,2,0,13.0,0.0,1.0,9.0,143,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,1.0,3.0,0.1,1.3
50032,0,0.0,1,13.0,2.0,4,3,3,0,17.0,1.0,1.0,0.0,161,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0,4.0,0.0,1.0,17.0
50033,0,30.0,1,15.0,3.0,4,4,5,1,20.0,1.0,1.0,0.0,133,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.12903225806451613,0.0,1.0,20.0
50034,0,13.0,3,10.0,3.0,4,2,8,0,11.0,2.0,2.0,11.0,209,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.2857142857142857,0.7857142857142857,0.16666666666666666,0.9166666666666666
50035,0,9.0,3,8.0,3.0,3,3,7,0,18.0,1.0,1.0,2.0,122,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.3,0.2,0.3333333333333333,6.0
50036,0,0.0,1,14.0,3.0,3,2,2,0,24.0,0.0,2.0,2.0,123,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,3.0,2.0,0.6666666666666666,8.0
50037,0,9.0,1,15.0,2.0,3,4,7,0,18.0,0.0,2.0,2.0,120,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.0,0.3,0.2,0.6666666666666666,6.0
50038,0,1.0,1,27.0,3.0,3,2,2,0,11.0,0.0,1.0,2.0,127,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1.5,1.0,0.3333333333333333,3.6666666666666665
50039,0,30.0,1,30.0,2.0,2,2,4,1,16.0,1.0,1.0,4.0,194,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1.5,0.06451612903225806,0.12903225806451613,0.2,3.2
50040,0,0.0,1,14.0,3.0,4,3,2,1,15.0,0.0,1.0,1.0,126,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1.0,4.0,1.0,0.5,7.5
50041,0,23.0,1,17.0,2.0,3,4,4,0,15.0,2.0,4.0,4.0,299,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,0.125,0.16666666666666666,0.8,3.0
50042,0,14.0,1,14.0,2.0,3,3,5,0,12.0,1.0,1.0,8.0,125,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.2,0.5333333333333333,0.1111111111111111,1.3333333333333333
50043,0,3.0,3,11.0,2.0,3,2,3,0,12.0,2.0,7.0,4.0,194,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.75,1.0,1.4,2.4
50044,0,11.0,3,6.0,2.0,4,2,5,0,22.0,1.0,1.0,1.0,187,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.3333333333333333,0.08333333333333333,0.5,11.0
50045,0,5.0,1,12.0,3.0,3,3,4,0,20.0,0.0,1.0,4.0,130,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.0,0.5,0.6666666666666666,0.2,4.0
50046,0,0.0,1,23.0,3.0,3,4,1,1,16.0,1.0,1.0,1.0,131,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,3.0,1.0,0.5,8.0
50047,1,0.0,3,14.0,3.0,5,5,1,0,21.0,1.0,1.0,0.0,123,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,5.0,0.0,1.0,21.0
50048,0,9.0,1,9.0,1.0,3,4,5,0,12.0,4.0,7.0,2.0,121,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.3,0.2,2.3333333333333335,4.0
50049,0,3.0,1,15.0,3.0,3,5,2,0,11.0,0.0,6.0,10.0,131,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0,0.75,2.5,0.5454545454545454,1.0
50050,0,18.0,3,10.0,1.0,3,5,5,1,11.0,0.0,1.0,3.0,150,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.15789473684210525,0.15789473684210525,0.25,2.75
50051,0,29.0,1,14.0,3.0,3,5,5,1,18.0,1.0,2.0,2.0,143,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0,0.1,0.06666666666666667,0.6666666666666666,6.0
50052,0,6.0,1,14.0,2.0,3,2,1,0,14.0,0.0,1.0,2.0,125,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.0,0.42857142857142855,0.2857142857142857,0.3333333333333333,4.666666666666667
50053,1,0.0,1,8.0,2.0,4,2,2,0,22.0,0.0,1.0,0.0,111,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,4.0,0.0,1.0,22.0
50054,0,19.0,3,6.0,3.0,3,5,2,0,25.0,4.0,15.0,7.0,205,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.15,0.35,1.875,3.125
50055,0,9.0,1,15.0,3.0,3,2,2,0,12.0,1.0,2.0,1.0,123,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.0,0.3,0.1,1.0,6.0
